chart_year,chart_code,chart_date,rank,title,artist,source_url
2025,dlsongs,2025-01-01,1,APT.,ロゼ & ブルーノ・マーズ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,2,オトノケ,Creepy Nuts,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,3,50%,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,4,ビターバカンス,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,5,はいよろこんで,こっちのけんと,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,6,ライラック,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,7,風神,Vaundy,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,8,ねっこ,King Gnu,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,9,なにもの,King & Prince,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,10,きみいろ,King & Prince,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,11,Bling-Bang-Bang-Born,Creepy Nuts,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,12,Episode X,Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,13,Bunny Girl,AKASAKI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,14,Soranji,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,15,カクシタワタシ,紫雲清夏(湊みや),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,16,I wonder,Da-iCE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,17,幾億光年,Omoinotake,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,18,ケセラセラ,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,19,メクルメ,篠澤広(川村玲奈),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,20,Winter Ahead (with PARK HYO SHIN) (YUNSEOKCHEOL TRIO Ver.),V,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
2025,dlsongs,2025-01-01,21,TAIDADA,ずっと真夜中でいいのに。,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2024&month=12&day=30
