chart_year,chart_code,chart_date,rank,title,artist,source_url
2019,hot100,2019-01-02,1,Lemon,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,2,U.S.A.,DA PUMP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,3,ハーモニクス,D/Zeal,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,4,Flamingo,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,5,今夜このまま,あいみょん,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,6,Blizzard,三浦大知,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,7,マリーゴールド,あいみょん,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,8,プロローグ,Uru,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,9,帰り道は遠回りしたくなる,乃木坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,10,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,11,ボヘミアン・ラプソディ,クイーン,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,12,Pop Virus,星野源,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,13,オールドファッション,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,14,クリスマス・イブ,山下達郎,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,15,Stand by you,SKE48,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,16,恋人たちのクリスマス,マライア・キャリー,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,17,会いたい、会いたい、会えない。,KinKi Kids,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,18,泣かせてくれよ,吉本坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,19,アイノカタチ feat.HIDE(GReeeeN),MISIA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,20,シンクロニシティ,乃木坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,21,アンビバレント,欅坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,22,YES or YES,TWICE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,23,SUZUNARI,稲垣吾郎,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,24,君はロックを聴かない,あいみょん,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,25,打上花火,DAOKO × 米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,26,LOSER,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,27,ラスト・クリスマス,ワム!,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,28,伝説のチャンピオン,クイーン,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,29,さよならエレジー,菅田将暉,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,30,メリクリ,BoA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,31,愛を伝えたいだとか,あいみょん,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,32,ドント・ストップ・ミー・ナウ,クイーン,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,33,366日,HY,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,34,千年先もずっと…,千(立花慎之介),https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,35,#SINGING,新しい地図 join ミュージック,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,36,シェイプ・オブ・ユー,エド・シーラン,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,37,Stand Out Fit In,ONE OK ROCK,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,38,世界はあなたに笑いかけている,Little Glee Monster,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,39,僕のこと,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,40,アイデア,星野源,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,41,ADAMAS,LiSA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,42,What is Love?,TWICE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,43,Sweet Wanderer,ももいろクローバーZ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,44,恋,星野源,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,45,シャロウ〜『アリー/ スター誕生』愛のうた,レディー・ガガ、ブラッドリー・クーパー,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,46,アイネクライネ,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
2019,hot100,2019-01-02,47,レッツゴーボウリング,桑田佳祐 & The Pin Boys,https://www.billboard-japan.com/charts/detail?a=hot100&year=2019&month=01&day=07
