chart_year,chart_code,chart_date,rank,title,artist,source_url
2018,stsongs,2018-01-03,1,打上花火,DAOKO × 米津玄師,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,2,TT,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,3,ダンシング・ヒーロー,荻野目洋子,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,4,楓,スピッツ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,5,Hero,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,6,BIG CITY RODEO,GENERATIONS from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,7,I LOVE YOU,クリス・ハート,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,8,シェイプ・オブ・ユー,エド・シーラン,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,9,風に吹かれても,欅坂46,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,10,Heart Shaker,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,11,明日も,SHISHAMO,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,12,ノンフィクション,平井堅,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,13,DNA,BTS (防弾少年団),https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,14,RAIN,SEKAI NO OWARI,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,15,恋,星野源,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,16,奇蹟,Uru,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,17,インフルエンサー,乃木坂46,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,18,花束を君に,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,19,EXCITE,三浦大知,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,20,Wherever you are,ONE OK ROCK,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,21,Family Song,星野源,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,22,LIKEY,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,23,メリクリ,BoA,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,24,Just You and I,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,25,愛をこめて花束を,Superfly,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,26,J.S.B. HAPPINESS,三代目 J Soul Brothers from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,27,HANABI,Mr.Children,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,28,Reboot,東方神起,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,29,サイレントマジョリティー,欅坂46,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,30,One More Time,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,31,LIFE,AAA,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,32,Love Story,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,33,奏(かなで),スキマスイッチ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,34,WanteD! WanteD!,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,35,キラキラ feat.カンナ,AI,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,36,不協和音,欅坂46,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,37,キセキ,GReeeeN,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,38,パッ,西野カナ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,39,First Love,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,40,手をつなぐ理由,西野カナ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,41,SIGNAL,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,42,見たこともない景色,菅田将暉,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,43,糸,中島みゆき,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,44,ダーティ・ワーク,オースティン・マホーン,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,45,Flavor Of Life,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,46,Like OOH-AHH,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,47,小さな恋のうた,MONGOL800,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,48,Let it snow!,DEAN FUJIOKA,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,48,空,GENERATIONS from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,50,ひまわりの約束,秦基博,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,51,トリセツ,西野カナ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,52,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,53,CQCQ,神様、僕は気づいてしまった,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,54,人生は夢だらけ,椎名林檎,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,55,恋音と雨空,AAA,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,56,CHEER UP,TWICE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,57,聖域,福山雅治,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,58,さくらんぼ,大塚愛,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,59,365日の紙飛行機,AKB48,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,60,Love You More,GENERATIONS from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,61,クリスマス・イブ,山下達郎,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
2018,stsongs,2018-01-03,62,FANTASTIC BABY,BIGBANG,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2018&month=01&day=08
