rank_2026,artist,2024_chart_entries,2025_chart_entries,2026_chart_entries,2025_vs_2024_change,2025_vs_2024_rate,2026_vs_2025_change,2026_vs_2025_rate,2024_matched_credits,2025_matched_credits,2026_matched_credits,2024_weeks,2025_weeks,2026_weeks
1,M!LK,13,24,164,11,+84.6%,140,+583.3%,M!LK: 13回,M!LK: 24回,M!LK: 164回,52,53,38
2,嵐,0,4,136,4,新規,132,+3300.0%,,嵐: 4回,嵐: 136回,52,53,38
3,Snow Man,15,46,84,31,+206.7%,38,+82.6%,Snow Man: 15回,Snow Man: 46回,Snow Man: 84回,52,53,38
4,Number_i,120,118,62,-2,-1.7%,-56,-47.5%,Number_i: 120回,Number_i: 118回,Number_i: 62回,52,53,38
5,BE:FIRST,27,94,55,67,+248.1%,-39,-41.5%,BE:FIRST: 27回,BE:FIRST: 94回,BE:FIRST: 55回,52,53,38
6,King & Prince,9,16,33,7,+77.8%,17,+106.2%,King & Prince: 9回,King & Prince: 16回,King & Prince: 33回,52,53,38
7,SixTONES,5,11,24,6,+120.0%,13,+118.2%,SixTONES: 5回,SixTONES: 11回,SixTONES: 24回,52,53,38
8,DOMOTO,1,34,19,33,+3300.0%,-15,-44.1%,KinKi Kids: 1回,KinKi Kids: 32回 / DOMOTO: 2回,KinKi Kids: 18回 / DOMOTO: 1回,52,53,38
9,MAZZEL,7,12,14,5,+71.4%,2,+16.7%,MAZZEL: 7回,MAZZEL: 12回,MAZZEL: 14回,52,53,38
10,JO1,24,31,11,7,+29.2%,-20,-64.5%,JO1: 24回,JO1: 31回,JO1: 11回,52,53,38
10,BUDDiiS,8,12,11,4,+50.0%,-1,-8.3%,BUDDiiS: 8回,BUDDiiS: 12回,BUDDiiS: 11回,52,53,38
10,STARGLOW,0,4,11,4,新規,7,+175.0%,,STARGLOW: 4回,STARGLOW: 11回,52,53,38
10,NCT WISH,3,0,11,-3,-100.0%,11,新規,NCT WISH: 3回,,NCT WISH: 11回,52,53,38
14,原因は自分にある。,23,15,9,-8,-34.8%,-6,-40.0%,原因は自分にある。: 23回,原因は自分にある。: 15回,原因は自分にある。: 9回,52,53,38
15,INI,13,12,7,-1,-7.7%,-5,-41.7%,INI: 13回,INI: 12回,INI: 7回,52,53,38
15,Kis-My-Ft2,1,1,7,0,+0.0%,6,+600.0%,Kis-My-Ft2: 1回,Kis-My-Ft2: 1回,Kis-My-Ft2: 7回,52,53,38
15,モナキ,0,0,7,0,—,7,新規,,,モナキ: 7回,52,53,38
18,ONE N' ONLY,4,14,6,10,+250.0%,-8,-57.1%,ONE N' ONLY: 4回,ONE N' ONLY: 14回,ONE N' ONLY: 6回,52,53,38
18,Travis Japan,9,9,6,0,+0.0%,-3,-33.3%,Travis Japan: 9回,Travis Japan: 9回,Travis Japan: 6回,52,53,38
20,SUPER★DRAGON,2,3,5,1,+50.0%,2,+66.7%,SUPER★DRAGON: 2回,SUPER★DRAGON: 3回,SUPER★DRAGON: 5回,52,53,38
