year,target_artist,credited_artist,chart_date,rank,title
2024,BE:FIRST,BE:FIRST,2024-01-17,100,Mainstream
2024,BE:FIRST,BE:FIRST,2024-03-13,12,Set Sail
2024,BE:FIRST,BE:FIRST,2024-03-20,55,Set Sail
2024,BE:FIRST,BE:FIRST,2024-03-27,13,Gifted. -Orchestra ver.-
2024,BE:FIRST,BE:FIRST,2024-05-08,1,Masterplan
2024,BE:FIRST,BE:FIRST,2024-05-15,7,Masterplan
2024,BE:FIRST,BE:FIRST,2024-05-22,16,Masterplan
2024,BE:FIRST,BE:FIRST,2024-05-29,24,Masterplan
2024,BE:FIRST,BE:FIRST,2024-06-05,33,Masterplan
2024,BE:FIRST,BE:FIRST,2024-06-12,44,Masterplan
2024,BE:FIRST,BE:FIRST,2024-06-19,60,Masterplan
2024,BE:FIRST,BE:FIRST,2024-06-26,78,Masterplan
2024,BE:FIRST,BE:FIRST,2024-07-03,95,Masterplan
2024,BE:FIRST,BE:FIRST,2024-08-28,1,Blissful
2024,BE:FIRST,BE:FIRST,2024-09-04,8,Blissful
2024,BE:FIRST,BE:FIRST,2024-09-11,23,Blissful
2024,BE:FIRST,BE:FIRST,2024-09-18,21,Blissful
2024,BE:FIRST,BE:FIRST,2024-09-25,30,Blissful
2024,BE:FIRST,BE:FIRST,2024-10-02,39,Blissful
2024,BE:FIRST,BE:FIRST,2024-10-09,60,Blissful
2024,BE:FIRST,BE:FIRST,2024-10-16,72,Blissful
2024,BE:FIRST,BE:FIRST,2024-11-20,4,Sailing
2024,BE:FIRST,BE:FIRST,2024-11-27,29,Sailing
2024,BE:FIRST,BE:FIRST,2024-12-04,45,Sailing
2024,BE:FIRST,BE:FIRST,2024-12-11,82,Sailing
2024,BE:FIRST,BE:FIRST,2024-12-18,38,Sailing
2024,BE:FIRST,BE:FIRST,2024-12-25,32,Sailing
2024,M!LK,M!LK,2024-02-07,6,Kiss Plan
2024,M!LK,M!LK,2024-02-14,28,Kiss Plan
2024,M!LK,M!LK,2024-02-21,49,Kiss Plan
2024,M!LK,M!LK,2024-05-08,82,ブルーシャワー
2024,M!LK,M!LK,2024-05-15,67,ブルーシャワー
2024,M!LK,M!LK,2024-05-22,71,ブルーシャワー
2024,M!LK,M!LK,2024-05-29,88,ブルーシャワー
2024,M!LK,M!LK,2024-06-05,4,ブルーシャワー
2024,M!LK,M!LK,2024-10-30,47,エビバディグッジョブ!
2024,M!LK,M!LK,2024-11-06,4,エビバディグッジョブ!
2024,M!LK,M!LK,2024-12-11,52,I CAN DRINK
2024,M!LK,M!LK,2024-12-18,61,I CAN DRINK
2024,M!LK,M!LK,2024-12-25,88,I CAN DRINK
2024,Snow Man,Snow Man,2024-02-07,86,We'll go together
2024,Snow Man,Snow Man,2024-02-14,95,We'll go together
2024,Snow Man,Snow Man,2024-02-28,2,LOVE TRIGGER
2024,Snow Man,Snow Man,2024-03-06,12,LOVE TRIGGER
2024,Snow Man,Snow Man,2024-03-13,82,LOVE TRIGGER
2024,Snow Man,Snow Man,2024-07-03,66,BREAKOUT
2024,Snow Man,Snow Man,2024-07-10,84,BREAKOUT
2024,Snow Man,Snow Man,2024-08-14,1,BREAKOUT
2024,Snow Man,Snow Man,2024-08-21,18,BREAKOUT
2024,Snow Man,Snow Man,2024-08-28,71,BREAKOUT
2024,Snow Man,Snow Man,2024-09-04,47,EMPIRE
2024,Snow Man,Snow Man,2024-09-11,95,EMPIRE
2024,Snow Man,Snow Man,2024-10-30,2,One
2024,Snow Man,Snow Man,2024-11-06,81,One
2024,Snow Man,Snow Man,2024-11-13,100,EMPIRE
2024,King & Prince,King & Prince,2024-06-05,1,halfmoon
2024,King & Prince,King & Prince,2024-06-05,34,moooove!!
2024,King & Prince,King & Prince,2024-06-12,43,halfmoon
2024,King & Prince,King & Prince,2024-06-12,66,ツキヨミ
2024,King & Prince,King & Prince,2024-06-12,77,moooove!!
2024,King & Prince,King & Prince,2024-06-12,95,シンデレラガール
2024,King & Prince,King & Prince,2024-06-19,78,ツキヨミ
2024,King & Prince,King & Prince,2024-06-19,84,moooove!!
2024,King & Prince,King & Prince,2024-10-16,5,WOW
2024,ONE OR EIGHT,ONE OR EIGHT,2024-09-04,37,Don't Tell Nobody
2024,Da-iCE,Da-iCE,2024-05-08,68,I wonder
2024,Da-iCE,Da-iCE,2024-05-15,40,I wonder
2024,Da-iCE,Da-iCE,2024-05-22,31,I wonder
2024,Da-iCE,Da-iCE,2024-05-29,19,I wonder
2024,Da-iCE,Da-iCE,2024-06-05,17,I wonder
2024,Da-iCE,Da-iCE,2024-06-12,18,I wonder
2024,Da-iCE,Da-iCE,2024-06-19,12,I wonder
2024,Da-iCE,Da-iCE,2024-06-19,100,CITRUS
2024,Da-iCE,Da-iCE,2024-06-26,11,I wonder
2024,Da-iCE,Da-iCE,2024-07-03,11,I wonder
2024,Da-iCE,Da-iCE,2024-07-10,8,I wonder
2024,Da-iCE,Da-iCE,2024-07-17,9,I wonder
2024,Da-iCE,Da-iCE,2024-07-24,7,I wonder
2024,Da-iCE,Da-iCE,2024-07-31,8,I wonder
2024,Da-iCE,Da-iCE,2024-08-07,9,I wonder
2024,Da-iCE,Da-iCE,2024-08-07,91,スターマイン
2024,Da-iCE,Da-iCE,2024-08-14,10,I wonder
2024,Da-iCE,Da-iCE,2024-08-14,80,スターマイン
2024,Da-iCE,Da-iCE,2024-08-21,10,I wonder
2024,Da-iCE,Da-iCE,2024-08-21,89,スターマイン
2024,Da-iCE,Da-iCE,2024-08-28,13,I wonder
2024,Da-iCE,Da-iCE,2024-08-28,90,スターマイン
2024,Da-iCE,Da-iCE,2024-08-28,92,CITRUS
2024,Da-iCE,Da-iCE,2024-09-04,18,I wonder
2024,Da-iCE,Da-iCE,2024-09-11,24,I wonder
2024,Da-iCE,Da-iCE,2024-09-18,17,I wonder
2024,Da-iCE,Da-iCE,2024-09-25,23,I wonder
2024,Da-iCE,Da-iCE,2024-10-02,21,I wonder
2024,Da-iCE,Da-iCE,2024-10-09,22,I wonder
2024,Da-iCE,Da-iCE,2024-10-16,24,I wonder
2024,Da-iCE,Da-iCE,2024-10-23,22,I wonder
2024,Da-iCE,Da-iCE,2024-10-30,16,I wonder
2024,Da-iCE,Da-iCE,2024-11-06,27,I wonder
2024,Da-iCE,Da-iCE,2024-11-13,30,I wonder
2024,Da-iCE,Da-iCE,2024-11-20,29,I wonder
2024,Da-iCE,Da-iCE,2024-11-27,26,I wonder
2024,Da-iCE,Da-iCE,2024-12-04,20,I wonder
2024,Da-iCE,Da-iCE,2024-12-04,98,CITRUS
2024,Da-iCE,Da-iCE,2024-12-11,24,I wonder
2024,Da-iCE,Da-iCE,2024-12-11,97,CITRUS
2024,Da-iCE,Da-iCE,2024-12-18,25,I wonder
2024,Da-iCE,Da-iCE,2024-12-25,21,I wonder
2024,&TEAM,&TEAM,2024-05-22,2,五月雨 (Samidare)
2024,&TEAM,&TEAM,2024-05-29,16,五月雨 (Samidare)
2024,&TEAM,&TEAM,2024-08-21,1,青嵐 (Aoarashi)
2024,&TEAM,&TEAM,2024-08-28,47,青嵐 (Aoarashi)
2024,&TEAM,&TEAM,2024-09-04,57,青嵐 (Aoarashi)
2024,&TEAM,&TEAM,2024-11-06,93,十五夜 (Jyuugoya)
2024,Number_i,Number_i,2024-01-17,1,GOAT
2024,Number_i,Number_i,2024-01-24,3,GOAT
2024,Number_i,Number_i,2024-01-31,6,GOAT
2024,Number_i,Number_i,2024-02-07,15,GOAT
2024,Number_i,Number_i,2024-02-14,21,GOAT
2024,Number_i,Number_i,2024-02-21,29,GOAT
2024,Number_i,Number_i,2024-02-28,44,GOAT
2024,Number_i,Number_i,2024-03-06,46,GOAT
2024,Number_i,Number_i,2024-03-13,32,GOAT
2024,Number_i,Number_i,2024-03-20,2,GOAT
2024,Number_i,Number_i,2024-03-20,66,FUJI
2024,Number_i,Number_i,2024-03-20,79,Is it me?
2024,Number_i,Number_i,2024-03-20,80,Blow Your Cover
2024,Number_i,Number_i,2024-03-20,84,Midnight City
2024,Number_i,Number_i,2024-03-20,99,Rain or Shine
2024,Number_i,Number_i,2024-03-27,5,GOAT
2024,Number_i,Number_i,2024-03-27,68,FUJI
2024,Number_i,Number_i,2024-04-03,29,GOAT
2024,Number_i,Number_i,2024-04-03,69,FUJI
2024,Number_i,Number_i,2024-04-10,41,GOAT
2024,Number_i,Number_i,2024-04-17,35,GOAT
2024,Number_i,Number_i,2024-04-24,5,Blow Your Cover
2024,Number_i,Number_i,2024-04-24,35,GOAT
2024,Number_i,Number_i,2024-05-01,36,GOAT
2024,Number_i,Number_i,2024-05-01,77,Blow Your Cover
2024,Number_i,Number_i,2024-05-08,47,GOAT
2024,Number_i,Number_i,2024-05-08,59,Blow Your Cover
2024,Number_i,Number_i,2024-05-15,46,GOAT
2024,Number_i,Number_i,2024-05-15,97,Blow Your Cover
2024,Number_i,Number_i,2024-05-22,58,GOAT
2024,Number_i,Number_i,2024-05-29,66,GOAT
2024,Number_i,Number_i,2024-06-05,64,GOAT
2024,Number_i,Number_i,2024-06-12,2,BON
2024,Number_i,Number_i,2024-06-12,54,GOAT
2024,Number_i,Number_i,2024-06-12,65,No-Yes
2024,Number_i,Number_i,2024-06-12,71,SQUARE_ONE
2024,Number_i,Number_i,2024-06-12,80,i
2024,Number_i,Number_i,2024-06-12,81,OK Complex
2024,Number_i,Number_i,2024-06-12,100,Banana (Take It Lazy)
2024,Number_i,Number_i,2024-06-19,8,BON
2024,Number_i,Number_i,2024-06-19,66,GOAT
2024,Number_i,Number_i,2024-06-19,99,No-Yes
2024,Number_i,Number_i,2024-06-26,19,BON
2024,Number_i,Number_i,2024-06-26,68,GOAT
2024,Number_i,Number_i,2024-07-03,24,BON
2024,Number_i,Number_i,2024-07-03,72,GOAT
2024,Number_i,Number_i,2024-07-10,28,BON
2024,Number_i,Number_i,2024-07-10,62,GOAT
2024,Number_i,Number_i,2024-07-17,34,BON
2024,Number_i,Number_i,2024-07-17,60,GOAT
2024,Number_i,Number_i,2024-07-24,36,BON
2024,Number_i,Number_i,2024-07-24,72,GOAT
2024,Number_i,Number_i,2024-07-31,41,BON
2024,Number_i,Number_i,2024-07-31,80,GOAT
2024,Number_i,Number_i,2024-08-07,45,BON
2024,Number_i,Number_i,2024-08-07,81,GOAT
2024,Number_i,Number_i,2024-08-14,50,BON
2024,Number_i,Number_i,2024-08-14,79,GOAT
2024,Number_i,Number_i,2024-08-21,61,BON
2024,Number_i,Number_i,2024-08-21,86,GOAT
